Designator,Footprint,Quantity,Value,LCSC Part #
"C13, C172, C180, C189, C204, C43",0805,6,10uF 10V,C126586
"C136, C206",0402,2,10nF 10V,C541371
"C137, C140, C141, C178",1206,4,10uF 50V,C5119295
"C138, C139, C146, C201",CP_Elec_6.3x7.7,4,100uF 35V,C72478
"C14, C144, C145, C15, C17, C171, C182, C227",0402,8,0.1uF 16V,C85857
"C142, C203",0402,2,1nF 16V,C189467
"C147, C148, C149",1206,3,10uF 35V,C17506488
"C150, C151, C152, C154, C155, C157, C159, C160, C162, C163, C164, C165, C166, C167, C168, C18, C19, C2, C20, C3, C74",0402,21,100nF 16V,C71629
"C153, C62, C66",0402,3,10pF 50V,C17469973
"C156, C161",0603,2,1uF 25V,C85862
"C158, C61",0805,2,4.7uF 16V,C90791
C16,CP_Elec_6.3x7.7,1,100uF 35V,C2836442
"C169, C184, C200, C51, C55, C63, C65",0603,7,2.2uF 16V,C883577
"C173, C195",1206,2,1nF 1kV,C97941
"C174, C175, C181, C183, C188, C192, C193",0402,7,0.1uF 16V,C2655418
C176,0603,1,0.1uF 50V,C161181
C177,0402,1,4.7nF 10V,C85860
"C185, C186",0805,2,22uF 25V,C86816
C187,0603,1,1uF 35V, C711096
"C191, C194",0402,2,22pF 50V,C2176129
C64,0402,1,10nF 10V,C1852256
"D1, D2, D24, D40, D8",SOT-23,5,BAT54C,C14308
"D10, D31, D32, D35",D_SOD-123F,4,"1A,40V",C2909920
"D20, D41, D46, D50, D51",SOD-523F,5,1N4448WT,C896166
"D23, D5",0603,2,RED,C79636
"D3, D9",D_SMA,2,CDBA540-HF,C2885992
D30,D_SMA,1,3A 40V,C2885989
D37,0603,1,AMBER,C165983
D4,0603,1,BLUE,C965807
"D42, D6",0603,2,GREEN,C19171301
D54,DFN1610-2L,1,D_TVS_5V,C172440
D55,D_SMB,1,D_TVS_3.3V,C2990571
D62,SOD-523F,1,1N4148WT,C232841
D7,0603,1,RED, C79636
F1,FuseHolder_Blade_ATO_Littelfuse_FLR_178.6165,1,VIN_FUSE,C207060
F12,Fuse_BelFuse_OZCG_1812,1,FUSE 30V 300mA-500mA,C910832
F2,1206,1,VSSA FUSE,C6964258
F3,1812,1,PTC_3A,C127824
"F6, F7",1206,2,FUSE 60V 50mA/150mA,C209735
J1,JST_ZH_1x06_P1.5_B6B-ZR-SM4-TF,1,SWD,C22362448
J16,IDC-Header_2x25_P2.54mm_Vertical,1,EXPANSION, C146633
J17,PinHeader_2x06_P2.54mm_Vertical,1,ESP_DB,C492423
